"TaskName","TaskPath","State","RunAs","Author","Actions"
"GoogleUpdaterTaskSystem147.0.7703.0{09444498-7B96-4383-A01D-D77C43769FE2}","\GoogleSystem\GoogleUpdater\",,"SYSTEM",,"""C:\Program Files (x86)\Google\GoogleUpdater\147.0.7703.0\updater.exe"" --wake --system"
"Office Actions Server","\Microsoft\Office\",,,,"C:\Program Files\Microsoft Office\root\VFS\ProgramFilesCommonX64\Microsoft Shared\Office16\ActionsServer\ActionsServer.exe availabilitycheck"
"Office Automatic Updates 2.0","\Microsoft\Office\",,"SYSTEM",,"C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeC2RClient.exe /frequentupdate SCHEDULEDTASK displaylevel=False"
"Office Background Push Maintenance","\Microsoft\Office\",,,,"C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonx64\Microsoft Shared\Office16\opushutil.exe /pushregistration"
"Office ClickToRun Service Monitor","\Microsoft\Office\",,"SYSTEM",,"C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeC2RClient.exe /WatchService"
"Office Feature Updates","\Microsoft\Office\",,,,"C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe "
"Office Feature Updates Logon","\Microsoft\Office\",,,,"C:\Program Files\Microsoft Office\root\Office16\sdxhelper.exe /onlogon"
"Office Performance Monitor","\Microsoft\Office\",,"SYSTEM",,"C:\Program Files\Microsoft Office\root\VFS\ProgramFilesCommonX64\Microsoft Shared\Office16\operfmon.exe "
"Office Startup Maintenance","\Microsoft\Office\",,,,"C:\Program Files\Microsoft Office\root\VFS\ProgramFilesCommonX64\Microsoft Shared\Office16\ActionsServer\ActionsServer.exe wacheck"
".NET Framework NGEN v4.0.30319","\Microsoft\Windows\.NET Framework\",,"SYSTEM",," "
".NET Framework NGEN v4.0.30319 64","\Microsoft\Windows\.NET Framework\",,"SYSTEM",," "
".NET Framework NGEN v4.0.30319 64 Critical","\Microsoft\Windows\.NET Framework\",,"SYSTEM",," "
".NET Framework NGEN v4.0.30319 Critical","\Microsoft\Windows\.NET Framework\",,"SYSTEM",," "
"RecoverabilityToastTask","\Microsoft\Windows\AccountHealth\",,,," "
"AD RMS Rights Policy Template Management (Automated)","\Microsoft\Windows\Active Directory Rights Management Services Client\",,,," "
"AD RMS Rights Policy Template Management (Manual)","\Microsoft\Windows\Active Directory Rights Management Services Client\",,,," "
"EDP Policy Manager","\Microsoft\Windows\AppID\",,"LOCAL SERVICE",," "
"PolicyConverter","\Microsoft\Windows\AppID\",,"SYSTEM",,"%windir%\system32\appidpolicyconverter.exe "
"VerifiedPublisherCertStoreCheck","\Microsoft\Windows\AppID\",,"LOCAL SERVICE",,"%windir%\system32\appidcertstorecheck.exe "
"MareBackup","\Microsoft\Windows\Application Experience\",,"SYSTEM",,"%windir%\system32\compattelrunner.exe -m:aeinv.dll -f:UpdateSoftwareInventoryW invsvc | %windir%\system32\compattelrunner.exe -m:appraiser.dll -f:DoScheduledTelemetryRun | %windir%\system32\compattelrunner.exe -m:aemarebackup.dll -f:BackupMareData"
"Microsoft Compatibility Appraiser Exp","\Microsoft\Windows\Application Experience\",,"SYSTEM",,"%windir%\system32\compattelrunner.exe -m:appraiser.dll -f:DoScheduledTelemetryRun express"
"PcaPatchDbTask","\Microsoft\Windows\Application Experience\",,"SYSTEM",,"%windir%\system32\rundll32.exe %windir%\system32\PcaSvc.dll,PcaPatchSdbTask"
"SdbinstMergeDbTask","\Microsoft\Windows\Application Experience\",,"SYSTEM",,"%windir%\system32\sdbinst.exe -mm"
"StartupAppTask","\Microsoft\Windows\Application Experience\",,,,"%windir%\system32\rundll32.exe Startupscan.dll,SusRunTask"
"appuriverifierdaily","\Microsoft\Windows\ApplicationData\",,,,"%windir%\system32\AppHostRegistrationVerifier.exe "
"appuriverifierinstall","\Microsoft\Windows\ApplicationData\",,,,"%windir%\system32\AppHostRegistrationVerifier.exe "
"CleanupTemporaryState","\Microsoft\Windows\ApplicationData\",,"SYSTEM",,"%windir%\system32\rundll32.exe Windows.Storage.ApplicationData.dll,CleanupTemporaryState"
"DsSvcCleanup","\Microsoft\Windows\ApplicationData\",,"SYSTEM",,"%windir%\system32\dstokenclean.exe "
"Backup","\Microsoft\Windows\AppListBackup\",,,," "
"BackupNonMaintenance","\Microsoft\Windows\AppListBackup\",,,," "
"Pre-staged app cleanup","\Microsoft\Windows\AppxDeploymentClient\",,"SYSTEM",,"%windir%\system32\rundll32.exe %windir%\system32\AppxDeploymentClient.dll,AppxPreStageCleanupRunTask"
"UCPD velocity","\Microsoft\Windows\AppxDeploymentClient\",,"SYSTEM",,"%windir%\system32\UCPDMgr.exe "
"Proxy","\Microsoft\Windows\Autochk\",,"SYSTEM",,"%windir%\system32\rundll32.exe /d acproxy.dll,PerformAutochkOperations"
"BitLocker Encrypt All Drives","\Microsoft\Windows\BitLocker\",,,," "
"BitLocker MDM policy Refresh","\Microsoft\Windows\BitLocker\",,,," "
"UninstallDeviceTask","\Microsoft\Windows\Bluetooth\",,"SYSTEM",,"BthUdTask.exe $(Arg0)"
"BgTaskRegistrationMaintenanceTask","\Microsoft\Windows\BrokerInfrastructure\",,"SYSTEM",," "
"maintenancetasks","\Microsoft\Windows\capabilityaccessmanager\",,"SYSTEM",,"%windir%\system32\rundll32.exe %windir%\system32\CapabilityAccessManager.dll,CapabilityAccessManagerDoStoreMaintenance"
"AikCertEnrollTask","\Microsoft\Windows\CertificateServicesClient\",,"SYSTEM",," "
"CryptoPolicyTask","\Microsoft\Windows\CertificateServicesClient\",,"SYSTEM",," "
"KeyPreGenTask","\Microsoft\Windows\CertificateServicesClient\",,"SYSTEM",," "
"SystemTask","\Microsoft\Windows\CertificateServicesClient\",,"SYSTEM",," "
"UserTask","\Microsoft\Windows\CertificateServicesClient\",,,," "
"UserTask-Roam","\Microsoft\Windows\CertificateServicesClient\",,,," "
"ProactiveScan","\Microsoft\Windows\Chkdsk\",,"SYSTEM",," "
"SyspartRepair","\Microsoft\Windows\Chkdsk\",,"SYSTEM",,"%windir%\system32\bcdboot.exe %windir% /sysrepair"
"License Validation","\Microsoft\Windows\Clip\",,"SYSTEM",,"%SystemRoot%\system32\ClipUp.exe -p -s -o"
"CreateObjectTask","\Microsoft\Windows\CloudExperienceHost\",,"SYSTEM",," "
"Backup","\Microsoft\Windows\CloudRestore\",,,," "
"Restore","\Microsoft\Windows\CloudRestore\",,,," "
"UnifiedConsentSyncTask","\Microsoft\Windows\ConsentUX\UnifiedConsent\",,,," "
"Consolidator","\Microsoft\Windows\Customer Experience Improvement Program\",,"SYSTEM",,"%SystemRoot%\System32\wsqmcons.exe "
"UsbCeip","\Microsoft\Windows\Customer Experience Improvement Program\",,"SYSTEM",," "
"Data Integrity Check And Scan","\Microsoft\Windows\Data Integrity Scan\",,"SYSTEM",," "
"Data Integrity Scan","\Microsoft\Windows\Data Integrity Scan\",,"SYSTEM",," "
"Data Integrity Scan for Crash Recovery","\Microsoft\Windows\Data Integrity Scan\",,"SYSTEM",," "
"ScheduledDefrag","\Microsoft\Windows\Defrag\",,"SYSTEM",,"%windir%\system32\defrag.exe -c -h -o -$"
"Device","\Microsoft\Windows\Device Information\",,"SYSTEM",,"%windir%\system32\devicecensus.exe SystemCxt"
"Device User","\Microsoft\Windows\Device Information\",,,,"%windir%\system32\devicecensus.exe UserCxt"
"Driver Recovery on Reboot","\Microsoft\Windows\Device Setup\",,"SYSTEM",," "
"Metadata Refresh","\Microsoft\Windows\Device Setup\",,,," "
"HandleCommand","\Microsoft\Windows\DeviceDirectoryClient\",,"SYSTEM",," "
"HandleWnsCommand","\Microsoft\Windows\DeviceDirectoryClient\",,"SYSTEM",," "
"IntegrityCheck","\Microsoft\Windows\DeviceDirectoryClient\",,"SYSTEM",," "
"LocateCommandUserSession","\Microsoft\Windows\DeviceDirectoryClient\",,,," "
"RegisterDeviceAccountChange","\Microsoft\Windows\DeviceDirectoryClient\",,"SYSTEM",," "
"RegisterDeviceLocationRightsChange","\Microsoft\Windows\DeviceDirectoryClient\",,"SYSTEM",," "
"RegisterDevicePeriodic24","\Microsoft\Windows\DeviceDirectoryClient\",,"SYSTEM",," "
"RegisterDevicePolicyChange","\Microsoft\Windows\DeviceDirectoryClient\",,"SYSTEM",," "
"RegisterDeviceProtectionStateChanged","\Microsoft\Windows\DeviceDirectoryClient\",,"SYSTEM",," "
"RegisterDeviceSettingChange","\Microsoft\Windows\DeviceDirectoryClient\",,"SYSTEM",," "
"RegisterDeviceWnsFallback","\Microsoft\Windows\DeviceDirectoryClient\",,"SYSTEM",," "
"RegisterUserDevice","\Microsoft\Windows\DeviceDirectoryClient\",,,," "
"RecommendedTroubleshootingScanner","\Microsoft\Windows\Diagnosis\",,"SYSTEM",," "
"Scheduled","\Microsoft\Windows\Diagnosis\",,,," "
"UnexpectedCodepath","\Microsoft\Windows\Diagnosis\",,"SYSTEM",,"%windir%\system32\UCConfigTask.exe "
"DirectXDatabaseUpdater","\Microsoft\Windows\DirectX\",,"SYSTEM",,"%windir%\system32\directxdatabaseupdater.exe "
"DXGIAdapterCache","\Microsoft\Windows\DirectX\",,"SYSTEM",,"%windir%\system32\dxgiadaptercache.exe "
"SilentCleanup","\Microsoft\Windows\DiskCleanup\",,,,"%windir%\system32\cleanmgr.exe /autocleanstoragesense /d %systemdrive%"
"Microsoft-Windows-DiskDiagnosticDataCollector","\Microsoft\Windows\DiskDiagnostic\",,"SYSTEM",,"%windir%\system32\rundll32.exe dfdts.dll,DfdGetDefaultPolicyAndSMART"
"Microsoft-Windows-DiskDiagnosticResolver","\Microsoft\Windows\DiskDiagnostic\",,,,"%windir%\system32\DFDWiz.exe "
"Diagnostics","\Microsoft\Windows\DiskFootprint\",,"SYSTEM",,"%windir%\system32\disksnapshot.exe -z"
"StorageSense","\Microsoft\Windows\DiskFootprint\",,"SYSTEM",," "
"dusmtask","\Microsoft\Windows\DUSM\",,,,"%SystemRoot%\System32\dusmtask.exe "
"EDP App Launch Task","\Microsoft\Windows\EDP\",,,," "
"EDP Auth Task","\Microsoft\Windows\EDP\",,,," "
"EDP Inaccessible Credentials Task","\Microsoft\Windows\EDP\",,,," "
"StorageCardEncryption Task","\Microsoft\Windows\EDP\",,,," "
"ExploitGuard MDM policy Refresh","\Microsoft\Windows\ExploitGuard\",,"SYSTEM",," "
"DmClient","\Microsoft\Windows\Feedback\Siuf\",,"SYSTEM",,"%windir%\system32\dmclient.exe "
"DmClientOnScenarioDownload","\Microsoft\Windows\Feedback\Siuf\",,"SYSTEM",,"%windir%\system32\dmclient.exe utcwnf"
"File History (maintenance mode)","\Microsoft\Windows\FileHistory\",,"LOCAL SERVICE",," "
"BootstrapUsageDataReporting","\Microsoft\Windows\Flighting\FeatureConfig\",,"SYSTEM",," "
"GovernedFeatureUsageProcessing","\Microsoft\Windows\Flighting\FeatureConfig\",,"SYSTEM",," "
"ReconcileConfigs","\Microsoft\Windows\Flighting\FeatureConfig\",,"SYSTEM",," "
"ReconcileFeatures","\Microsoft\Windows\Flighting\FeatureConfig\",,"SYSTEM",," "
"UsageDataFlushing","\Microsoft\Windows\Flighting\FeatureConfig\",,"SYSTEM",," "
"UsageDataReceiver","\Microsoft\Windows\Flighting\FeatureConfig\",,"SYSTEM",," "
"UsageDataReporting","\Microsoft\Windows\Flighting\FeatureConfig\",,"SYSTEM",," "
"RefreshCache","\Microsoft\Windows\Flighting\OneSettings\",,"SYSTEM",," "
"Monitoring","\Microsoft\Windows\Hotpatch\",,"SYSTEM",,"%systemroot%\system32\cmd.exe /d /c %systemroot%\system32\hpatchmonTask.cmd"
"InputSettingsRestoreDataAvailable","\Microsoft\Windows\input\",,,," "
"LocalUserSyncDataAvailable","\Microsoft\Windows\input\",,,," "
"MouseSyncDataAvailable","\Microsoft\Windows\input\",,,," "
"PenSyncDataAvailable","\Microsoft\Windows\input\",,,," "
"RemoteMouseSyncDataAvailable","\Microsoft\Windows\input\",,,," "
"RemotePenSyncDataAvailable","\Microsoft\Windows\input\",,,," "
"RemoteTouchpadSyncDataAvailable","\Microsoft\Windows\input\",,,," "
"syncpensettings","\Microsoft\Windows\input\",,,," "
"TouchpadSyncDataAvailable","\Microsoft\Windows\input\",,,," "
"RestoreDevice","\Microsoft\Windows\InstallService\",,,," "
"ScanForUpdates","\Microsoft\Windows\InstallService\",,"SYSTEM",," "
"ScanForUpdatesAsUser","\Microsoft\Windows\InstallService\",,,," "
"SmartRetry","\Microsoft\Windows\InstallService\",,"SYSTEM",," "
"WakeUpAndContinueUpdates","\Microsoft\Windows\InstallService\",,"SYSTEM",," "
"WakeUpAndScanForUpdates","\Microsoft\Windows\InstallService\",,"SYSTEM",," "
"Synchronize Language Settings","\Microsoft\Windows\International\",,,," "
"La57Cleanup","\Microsoft\Windows\Kernel\",,"SYSTEM",,"%windir%\system32\la57setup.exe "
"Installation","\Microsoft\Windows\LanguageComponentsInstaller\",,,," "
"ReconcileLanguageResources","\Microsoft\Windows\LanguageComponentsInstaller\",,,," "
"Uninstallation","\Microsoft\Windows\LanguageComponentsInstaller\",,"SYSTEM",," "
"TempSignedLicenseExchange","\Microsoft\Windows\License Manager\",,,," "
"WindowsActionDialog","\Microsoft\Windows\Location\",,,,"%windir%\System32\WindowsActionDialog.exe "
"WinSAT","\Microsoft\Windows\Maintenance\",,,," "
"DetectHardwareChange","\Microsoft\Windows\Management\Autopilot\",,"SYSTEM",," "
"RemediateHardwareChange","\Microsoft\Windows\Management\Autopilot\",,"SYSTEM",," "
"Cellular","\Microsoft\Windows\Management\Provisioning\",,"SYSTEM",,"%windir%\system32\ProvTool.exe /turn 7 /source CellStateChangeTask"
"Logon","\Microsoft\Windows\Management\Provisioning\",,"SYSTEM",,"%windir%\system32\ProvTool.exe /turn 5 /source LogonIdleTask"
"MdmDiagnosticsCleanup","\Microsoft\Windows\Management\Provisioning\",,"SYSTEM",,"%windir%\system32\MdmDiagnosticsTool.exe /clean"
"Retry","\Microsoft\Windows\Management\Provisioning\",,"SYSTEM",,"%windir%\system32\ProvTool.exe /turn 5 /source ProvRetryTask"
"RunOnReboot","\Microsoft\Windows\Management\Provisioning\",,"SYSTEM",,"%windir%\system32\ProvTool.exe /turn 5 /source ContinueSessionTask"
"MapsToastTask","\Microsoft\Windows\Maps\",,,," "
"MapsUpdateTask","\Microsoft\Windows\Maps\",,"NETWORK SERVICE",," "
"AutomaticOfflineMemoryDiagnostic","\Microsoft\Windows\MemoryDiagnostic\",,,," "
"ProcessMemoryDiagnosticEvents","\Microsoft\Windows\MemoryDiagnostic\",,,," "
"RunFullMemoryDiagnostic","\Microsoft\Windows\MemoryDiagnostic\",,,," "
"LPRemove","\Microsoft\Windows\MUI\",,"SYSTEM",,"%windir%\system32\lpremove.exe "
"Mcbuilder","\Microsoft\Windows\MUI\",,"SYSTEM",,"C:\Windows\System32\mcbuilder.exe "
"SystemSoundsService","\Microsoft\Windows\Multimedia\",,,," "
"NcsiIdentifyUserProxies","\Microsoft\Windows\Network Connectivity Status Indicator\",,,," "
"WiFiTask","\Microsoft\Windows\NlaSvc\",,,,"%SystemRoot%\System32\WiFiTask.exe nla"
"PCR Prediction Framework Firmware Update Task","\Microsoft\Windows\PCRPF\",,"SYSTEM",,"%windir%\system32\rundll32.exe %windir%\system32\pcrpf.dll,NotifyFirmwareUpdateStaged"
"RequestTrace","\Microsoft\Windows\PerformanceTrace\",,,," "
"WhesvcToast","\Microsoft\Windows\PerformanceTrace\",,,," "
"Secure-Boot-Update","\Microsoft\Windows\PI\",,"SYSTEM",," "
"Sqm-Tasks","\Microsoft\Windows\PI\",,"SYSTEM",," "
"Device Install Group Policy","\Microsoft\Windows\Plug and Play\",,"SYSTEM",," "
"Device Install Reboot Required","\Microsoft\Windows\Plug and Play\",,,," "
"Sysprep Generalize Drivers","\Microsoft\Windows\Plug and Play\",,"SYSTEM",,"%SystemRoot%\System32\drvinst.exe 6"
"Pluton-Ksp-Provisioning","\Microsoft\Windows\Pluton\",,"SYSTEM",," "
"AnalyzeSystem","\Microsoft\Windows\Power Efficiency Diagnostics\",,"SYSTEM",," "
"EduPrintProv","\Microsoft\Windows\Printing\",,,,"%windir%\system32\eduprintprov.exe "
"PrinterCleanupTask","\Microsoft\Windows\Printing\",,,," "
"PrintJobCleanupTask","\Microsoft\Windows\Printing\",,,," "
"LoginCheck","\Microsoft\Windows\PushToInstall\",,"SYSTEM",,"%windir%\system32\sc.exe start pushtoinstall login"
"Registration","\Microsoft\Windows\PushToInstall\",,"SYSTEM",,"%windir%\system32\sc.exe start pushtoinstall registration"
"MobilityManager","\Microsoft\Windows\Ras\",,"LOCAL SERVICE",," "
"VerifyWinRE","\Microsoft\Windows\RecoveryEnvironment\",,,," "
"Initialization","\Microsoft\Windows\ReFsDedupSvc\",,"SYSTEM",," "
"RegIdleBackup","\Microsoft\Windows\Registry\",,"SYSTEM",," "
"RemoteAssistanceTask","\Microsoft\Windows\RemoteAssistance\",,"SYSTEM",,"%windir%\system32\RAServer.exe /offerraupdate"
"OOBEFodSetup","\Microsoft\Windows\Servicing\",,"SYSTEM",,"%windir%\system32\OOBEFodSetup.exe "
"StartComponentCleanup","\Microsoft\Windows\Servicing\",,"SYSTEM",," "
"Account Cleanup","\Microsoft\Windows\SharedPC\",,"SYSTEM",," "
"CreateObjectTask","\Microsoft\Windows\Shell\",,"SYSTEM",," "
"FamilySafetyMonitor","\Microsoft\Windows\Shell\",,"SYSTEM",,"%windir%\System32\wpcmon.exe "
"FamilySafetyRefreshTask","\Microsoft\Windows\Shell\",,"SYSTEM",," "
"IndexerAutomaticMaintenance","\Microsoft\Windows\Shell\",,"LOCAL SERVICE",," "
"ThemeAssetTask_SyncFODState","\Microsoft\Windows\Shell\",,"SYSTEM",," "
"ThemesSyncedImageDownload","\Microsoft\Windows\Shell\",,,," "
"UpdateUserPictureTask","\Microsoft\Windows\Shell\",,,," "
"UpdateUserPictureTaskContained","\Microsoft\Windows\Shell\",,,," "
"SvcRestartTask","\Microsoft\Windows\SoftwareProtectionPlatform\",,"NETWORK SERVICE",," "
"SvcRestartTaskLogon","\Microsoft\Windows\SoftwareProtectionPlatform\",,,," "
"SvcRestartTaskNetwork","\Microsoft\Windows\SoftwareProtectionPlatform\",,"NETWORK SERVICE",," "
"SpaceAgentTask","\Microsoft\Windows\SpacePort\",,"SYSTEM",,"%windir%\system32\SpaceAgent.exe "
"SpaceManagerTask","\Microsoft\Windows\SpacePort\",,"SYSTEM",,"%windir%\system32\spaceman.exe /Work"
"SpeechModelDownloadTask","\Microsoft\Windows\Speech\",,"NETWORK SERVICE",,"%windir%\system32\speech_onecore\common\SpeechModelDownload.exe "
"MaintenanceTasks","\Microsoft\Windows\StateRepository\",,"SYSTEM",,"%windir%\system32\rundll32.exe %windir%\system32\Windows.StateRepositoryClient.dll,StateRepositoryDoMaintenanceTasks"
"Storage Tiers Management Initialization","\Microsoft\Windows\Storage Tiers Management\",,"SYSTEM",," "
"Storage Tiers Optimization","\Microsoft\Windows\Storage Tiers Management\",,"SYSTEM",,"%windir%\system32\defrag.exe -c -h -g -# -m 8 -i 13500"
"EnableLicenseAcquisition","\Microsoft\Windows\Subscription\",,"SYSTEM",,"%SystemRoot%\system32\ClipRenew.exe -e"
"LicenseAcquisition","\Microsoft\Windows\Subscription\",,,,"%SystemRoot%\system32\ClipRenew.exe "
"PowerGridForecastTask","\Microsoft\Windows\Sustainability\",,"SYSTEM",," "
"SustainabilityTelemetry","\Microsoft\Windows\Sustainability\",,,," "
"HybridDriveCachePrepopulate","\Microsoft\Windows\Sysmain\",,"SYSTEM",," "
"HybridDriveCacheRebalance","\Microsoft\Windows\Sysmain\",,"SYSTEM",," "
"ResPriStaticDbSync","\Microsoft\Windows\Sysmain\",,"SYSTEM",," "
"WsSwapAssessmentTask","\Microsoft\Windows\Sysmain\",,"SYSTEM",,"%windir%\system32\rundll32.exe sysmain.dll,PfSvWsSwapAssessmentTask"
"SR","\Microsoft\Windows\SystemRestore\",,"SYSTEM",,"%windir%\system32\srtasks.exe ExecuteScheduledSPPCreation"
"Interactive","\Microsoft\Windows\Task Manager\",,,," "
"MsCtfMonitor","\Microsoft\Windows\TextServicesFramework\",,,," "
"ForceSynchronizeTime","\Microsoft\Windows\Time Synchronization\",,"LOCAL SERVICE",," "
"SynchronizeTime","\Microsoft\Windows\Time Synchronization\",,"LOCAL SERVICE",,"%windir%\system32\sc.exe start w32time task_started"
"SynchronizeTimeZone","\Microsoft\Windows\Time Zone\",,"SYSTEM",,"%windir%\system32\tzsync.exe "
"Tpm-HASCertRetr","\Microsoft\Windows\TPM\",,"SYSTEM",," "
"Tpm-Maintenance","\Microsoft\Windows\TPM\",,"SYSTEM",," "
"Tpm-PreAttestationHealthCheck","\Microsoft\Windows\TPM\",,"SYSTEM",," "
"Report policies","\Microsoft\Windows\UpdateOrchestrator\",,"SYSTEM",,"%systemroot%\system32\usoclient.exe ReportPolicies"
"Schedule Maintenance Work","\Microsoft\Windows\UpdateOrchestrator\",,"SYSTEM",,"%systemroot%\system32\usoclient.exe StartMaintenanceWork"
"Schedule Scan","\Microsoft\Windows\UpdateOrchestrator\",,"SYSTEM",,"%systemroot%\system32\usoclient.exe StartScan"
"Schedule Scan Static Task","\Microsoft\Windows\UpdateOrchestrator\",,"SYSTEM",,"%systemroot%\system32\usoclient.exe StartScan"
"Schedule Wake To Work","\Microsoft\Windows\UpdateOrchestrator\",,"SYSTEM",,"%systemroot%\system32\usoclient.exe StartWork"
"Schedule Work","\Microsoft\Windows\UpdateOrchestrator\",,"SYSTEM",,"%systemroot%\system32\usoclient.exe StartWork"
"Start Oobe Expedite Work","\Microsoft\Windows\UpdateOrchestrator\",,"SYSTEM",,"%systemroot%\system32\usoclient.exe StartWork"
"StartOobeAppsScan_LicenseAccepted","\Microsoft\Windows\UpdateOrchestrator\",,"SYSTEM",,"%systemroot%\system32\usoclient.exe StartOobeAppsScan"
"StartOobeAppsScanAfterUpdate","\Microsoft\Windows\UpdateOrchestrator\",,"SYSTEM",,"%systemroot%\system32\usoclient.exe StartOobeAppsScanAfterUpdate"
"UIEOrchestrator","\Microsoft\Windows\UpdateOrchestrator\",,"SYSTEM",,"%systemroot%\system32\UIEOrchestrator.exe /SendHeartbeat"
"USO_UxBroker","\Microsoft\Windows\UpdateOrchestrator\",,"SYSTEM",,"%systemroot%\system32\MusNotification.exe "
"UUS Failover Task","\Microsoft\Windows\UpdateOrchestrator\",,"SYSTEM",,"%windir%\System32\MLEngineStub.exe HandleUusFailoverEvaluationSignalFromWnf"
"UPnPHostConfig","\Microsoft\Windows\UPnP\",,"SYSTEM",,"sc.exe config upnphost start= auto"
"UsageAndQualityInsights-MaintenanceTask","\Microsoft\Windows\UsageAndQualityInsights\",,"SYSTEM",,"C:\Windows\System32\Microsoft.Data.UsageAndQualityInsights.MaintenanceTask.exe "
"Usb-Notifications","\Microsoft\Windows\USB\",,,," "
"HiveUploadTask","\Microsoft\Windows\User Profile Service\",,"SYSTEM",," "
"DeferredWork","\Microsoft\Windows\WaaSMedic\",,"SYSTEM",," "
"MaintenanceWork","\Microsoft\Windows\WaaSMedic\",,"SYSTEM",," "
